
===== 苏联解体原因一书字数统计 =====


## 第10章_玩笑和阴谋论原因 字数统计
E:\WebPages\CCCP\第10章_玩笑和阴谋论原因\10.1_苏联不存在论.md: 455 字 (中文: 455, 英文: 0)
E:\WebPages\CCCP\第6章_外交原因\6.9_自由民主论.md: 1703 字 (中文: 1703, 英文: 0)

第6章_外交原因 总计: 22388 字 (中文: 22387, 英文: 1, 共 14 个文件)

## 第7章_民族矛盾原因 字数统计
E:\WebPages\CCCP\第7章_民族矛盾原因\7.10_反德复俄论.md: 2162 字 (中文: 2162, 英文: 0)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.1_民族矛盾论.md: 1364 字 (中文: 1364, 英文: 0)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.2_民族团结论.md: 1569 字 (中文: 1569, 英文: 0)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.3_民族识别论.md: 1729 字 (中文: 1729, 英文: 0)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.4_加盟体制论.md: 1855 字 (中文: 1855, 英文: 0)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.5_乌克兰大饥荒论.md: 1882 字 (中文: 1880, 英文: 2)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.6_乌克兰反动派论.md: 1964 字 (中文: 1962, 英文: 2)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.7_卡廷惨案论.md: 2184 字 (中文: 2176, 英文: 8)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.8_卡廷惨案伪造论.md: 2028 字 (中文: 2020, 英文: 8)
E:\WebPages\CCCP\第7章_民族矛盾原因\7.9_卡廷惨案真实论.md: 3457 字 (中文: 3440, 英文: 17)

第7章_民族矛盾原因 总计: 20233 字 (中文: 20196, 英文: 37, 共 11 个文件)

## 第8章_特定人物和特定历史事件原因 字数统计
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.10_二战死亡一代青壮论.md: 936 字 (中文: 936, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.11_托洛茨基论.md: 869 字 (中文: 869, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.12_足球明星论.md: 784 字 (中文: 782, 英文: 2)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.13_八一九论.md: 2587 字 (中文: 2587, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.14_炮打白宫论.md: 2786 字 (中文: 2786, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.15_禁酒论.md: 2022 字 (中文: 2021, 英文: 1)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.1_列宁论.md: 1084 字 (中文: 1084, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.2_斯大林论.md: 3097 字 (中文: 3090, 英文: 7)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.3_赫鲁晓夫论.md: 3049 字 (中文: 3044, 英文: 5)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.4_勃列日涅夫论.md: 2597 字 (中文: 2589, 英文: 8)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.5_安德罗波夫论.md: 2552 字 (中文: 2547, 英文: 5)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.6_戈尔巴乔夫论.md: 2926 字 (中文: 2926, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.7_叶利钦论.md: 2518 字 (中文: 2518, 英文: 0)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.8_保皇论.md: 2276 字 (中文: 2267, 英文: 9)
E:\WebPages\CCCP\第8章_特定人物和特定历史事件原因\8.9_报应论.md: 1019 字 (中文: 1019, 英文: 0)

第8章_特定人物和特定历史事件原因 总计: 31145 字 (中文: 31108, 英文: 37, 共 16 个文件)

## 第9章_政治哲学理论原因 字数统计
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.1_基督教论.md: 900 字 (中文: 900, 英文: 0)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.2_资本家天命论.md: 2340 字 (中文: 2334, 英文: 6)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.3_历史终结论.md: 726 字 (中文: 724, 英文: 2)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.4_客观主义论.md: 856 字 (中文: 852, 英文: 4)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.5_不能建立地上天国论.md: 363 字 (中文: 363, 英文: 0)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.6_火德论.md: 1242 字 (中文: 1242, 英文: 0)
E:\WebPages\CCCP\第9章_政治哲学理论原因\9.7_首陀罗领班论.md: 1677 字 (中文: 1677, 英文: 0)

第9章_政治哲学理论原因 总计: 8141 字 (中文: 8129, 英文: 12, 共 8 个文件)

===== 总体统计 =====

全书总字数: 232745 字
中文字符: 232438 字
英文单词: 307 词
总文件数: 135 个文件
平均每篇文章字数: 1724.0 字
统计耗时: 0.05 秒

各章节字数分布:
第10章_玩笑和阴谋论原因: 5150 字 (2.2%), 平均每篇 572.2 字
第1章_政治原因: 44090 字 (18.9%), 平均每篇 2320.5 字
第2章_经济原因: 37658 字 (16.2%), 平均每篇 1982.0 字
第3章_科技发展原因: 30396 字 (13.1%), 平均每篇 1788.0 字
第4章_文化原因: 10000 字 (4.3%), 平均每篇 1250.0 字
第5章_军事原因: 23544 字 (10.1%), 平均每篇 1681.7 字
第6章_外交原因: 22388 字 (9.6%), 平均每篇 1599.1 字
第7章_民族矛盾原因: 20233 字 (8.7%), 平均每篇 1839.4 字
第8章_特定人物和特定历史事件原因: 31145 字 (13.4%), 平均每篇 1946.6 字
第9章_政治哲学理论原因: 8141 字 (3.5%), 平均每篇 1017.6 字

字数最多的10篇文章:
1. 1.7_腐败论.md: 4362 字 (中文: 4362, 英文: 0)
2. 1.6_意识形态危机论.md: 4051 字 (中文: 4051, 英文: 0)
3. 7.9_卡廷惨案真实论.md: 3457 字 (中文: 3440, 英文: 17)
4. 8.2_斯大林论.md: 3097 字 (中文: 3090, 英文: 7)
5. 8.3_赫鲁晓夫论.md: 3049 字 (中文: 3044, 英文: 5)
6. 8.6_戈尔巴乔夫论.md: 2926 字 (中文: 2926, 英文: 0)
7. 1.17_进步论.md: 2901 字 (中文: 2901, 英文: 0)
8. 1.16_改革顺序论.md: 2805 字 (中文: 2805, 英文: 0)
9. 8.14_炮打白宫论.md: 2786 字 (中文: 2786, 英文: 0)
10. 1.14_意识操纵论.md: 2725 字 (中文: 2718, 英文: 7)
